top - 13:24:59 up  1:17,  1 user,  load average: 0.96, 0.68, 0.85
Tasks: 357 total,   1 running, 356 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  2.6 sy,  0.0 ni, 96.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15907.9 total,   6410.3 free,   5448.5 used,   4049.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   9372.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2962 sh        20   0  345800  28240  18116 S   0.0   0.2   0:00.54 gsd-wac+
   2963 sh        20   0  314340   7892   6992 S   0.0   0.0   0:00.05 gsd-wwan
   2973 sh        20   0  346984  30076  19252 S   0.0   0.2   0:00.60 gsd-xse+
   3001 sh        20   0  711616  60856  45356 S   0.0   0.4   0:00.55 evoluti+
   3002 sh        20   0  441680  51024  28068 S   0.0   0.3   0:01.04 blueman+
   3007 sh        20   0  247072  45120  32364 S   0.0   0.3   0:00.63 xpad
   3025 sh        20   0  231800   6708   4680 S   0.0   0.0   0:00.03 gsd-dis+
   3055 sh        20   0  163036   6876   6248 S   0.0   0.0   0:00.28 ibus-en+
   3076 sh        20   0 1340916 201736  45416 S   0.0   1.2   0:08.31 snap-st+
   3089 sh        20   0  342528  15108  13208 S   0.0   0.1   0:00.01 gsd-pri+
   3132 sh        20   0  605224   6588   5956 S   0.0   0.0   0:00.09 xdg-doc+
   3184 sh        20   0  366300  49928  25348 S   0.0   0.3   0:00.74 blueman+
   3188 sh        20   0   43996   6512   5888 S   0.0   0.0   0:00.02 obexd
   3333 sh        20   0  741464  10612   9324 S   0.0   0.1   0:00.33 xdg-des+
   3337 sh        20   0  494184  28584  19128 S   0.0   0.2   0:00.41 xdg-des+
   3355 root      20   0  379380  25612  22012 S   0.0   0.2   0:00.39 fwupd
   4292 sh        20   0   16.5g 344876 158576 S   0.0   2.1   4:48.85 chrome
   4298 sh        20   0    8568    524    456 S   0.0   0.0   0:00.00 cat
   4299 sh        20   0    8568    588    524 S   0.0   0.0   0:00.00 cat
   4301 sh        20   0   16.0g   3080   2864 S   0.0   0.0   0:00.00 crashpa+
   4303 sh        20   0   16.0g   2824   2552 S   0.0   0.0   0:00.00 crashpa+
   4309 sh        20   0   16.3g  56624  46296 S   0.0   0.3   0:00.01 chrome
   4310 sh        20   0   16.3g  57484  47148 S   0.0   0.4   0:00.01 chrome
   4311 sh        20   0   16.0g   3408   3140 S   0.0   0.0   0:00.00 nacl_he+
   4314 sh        20   0   16.3g  15500   5212 S   0.0   0.1   0:00.35 chrome
   4335 sh        20   0   16.8g 180192 122748 S   0.0   1.1   9:13.58 chrome
   4337 sh        20   0   16.3g 114852  88484 S   0.0   0.7   2:04.85 chrome
   4346 sh        20   0   16.3g  51252  39120 S   0.0   0.3   0:01.15 chrome
   4411 sh        20   0   20.4g 243888 105972 S   0.0   1.5   0:38.34 chrome
   4450 sh        20   0   20.4g 171492  88052 S   0.0   1.1   0:31.08 chrome
   4491 sh        20   0   20.4g 121736  88876 S   0.0   0.7   0:04.19 chrome
